year,state,age_group,sex,n_alc_att,total_n,pct_alc_attributable
2010,Florida,25–34,Male,133,338,0.39349112426035504
2010,Florida,35–44,Female,24,96,0.25
2010,Florida,35–44,Male,68,207,0.3285024154589372
2010,Florida,45-54,Female,16,116,0.13793103448275862
2010,Florida,45-54,Male,89,256,0.34765625
2010,Florida,55-64,Female,12,90,0.13333333333333333
2010,Florida,55-64,Male,62,226,0.2743362831858407
2010,Florida,65+,Female,3,196,0.015306122448979591
2010,Florida,65+,Male,21,301,0.06976744186046512
2010,Georgia,0-14,Female,0,26,0
2010,Georgia,0-14,Male,0,42,0
2010,Georgia,15–19,Female,2,33,0.06060606060606061
2010,Georgia,15–19,Male,8,78,0.10256410256410256
2010,Georgia,20–24,Female,9,29,0.3103448275862069
2010,Georgia,20–24,Male,29,99,0.29292929292929293
2010,Georgia,25–34,Female,6,45,0.13333333333333333
2010,Georgia,25–34,Male,41,139,0.2949640287769784
2010,Georgia,35–44,Female,5,46,0.10869565217391304
2010,Georgia,35–44,Male,34,114,0.2982456140350877
2010,Georgia,45-54,Female,10,51,0.19607843137254902
2010,Georgia,45-54,Male,39,146,0.2671232876712329
2010,Georgia,55-64,Female,0,51,0
2010,Georgia,55-64,Male,24,126,0.19047619047619047
2010,Georgia,65+,Female,0,86,0
2010,Georgia,65+,Male,6,131,0.04580152671755725
2010,Hawaii,0-14,Female,0,0,NA
2010,Hawaii,0-14,Male,0,3,0
2010,Hawaii,15–19,Female,1,4,0.25
2010,Hawaii,15–19,Male,1,6,0.16666666666666666
2010,Hawaii,20–24,Female,2,4,0.5
2010,Hawaii,20–24,Male,8,15,0.5333333333333333
2010,Hawaii,25–34,Female,2,4,0.5
2010,Hawaii,25–34,Male,5,15,0.3333333333333333
2010,Hawaii,35–44,Female,0,2,0
2010,Hawaii,35–44,Male,9,13,0.6923076923076923
2010,Hawaii,45-54,Female,0,2,0
2010,Hawaii,45-54,Male,5,15,0.3333333333333333
2010,Hawaii,55-64,Female,0,3,0
2010,Hawaii,55-64,Male,2,5,0.4
2010,Hawaii,65+,Female,0,13,0
2010,Hawaii,65+,Male,1,9,0.1111111111111111
2010,Idaho,0-14,Female,0,7,0
2010,Idaho,0-14,Male,0,7,0
2010,Idaho,15–19,Female,2,9,0.2222222222222222
2010,Idaho,15–19,Male,4,16,0.25
2010,Idaho,20–24,Female,6,15,0.4
2010,Idaho,20–24,Male,4,17,0.23529411764705882
2010,Idaho,25–34,Female,3,12,0.25
2010,Idaho,25–34,Male,9,19,0.47368421052631576
2010,Idaho,35–44,Female,1,4,0.25
2010,Idaho,35–44,Male,6,18,0.3333333333333333
2010,Idaho,45-54,Female,4,9,0.4444444444444444
2010,Idaho,45-54,Male,8,20,0.4
2010,Idaho,55-64,Female,0,8,0
2010,Idaho,55-64,Male,5,19,0.2631578947368421
2010,Idaho,65+,Female,0,9,0
2010,Idaho,65+,Male,3,20,0.15
2010,Illinois,0-14,Female,0,10,0
2010,Illinois,0-14,Male,0,18,0
2010,Illinois,15–19,Female,3,34,0.08823529411764706
2010,Illinois,15–19,Male,4,57,0.07017543859649122
2010,Illinois,20–24,Female,15,35,0.42857142857142855
2010,Illinois,20–24,Male,38,84,0.4523809523809524
2010,Illinois,25–34,Female,17,43,0.3953488372093023
2010,Illinois,25–34,Male,77,144,0.5347222222222222
2010,Illinois,35–44,Female,11,40,0.275
2010,Illinois,35–44,Male,25,71,0.352112676056338
2010,Illinois,45-54,Female,7,35,0.2
2010,Illinois,45-54,Male,32,108,0.2962962962962963
2010,Illinois,55-64,Female,3,36,0.08333333333333333
2010,Illinois,55-64,Male,19,71,0.2676056338028169
2010,Illinois,65+,Female,2,57,0.03508771929824561
2010,Illinois,65+,Male,5,83,0.060240963855421686
2010,Indiana,0-14,Female,0,10,0
2010,Indiana,0-14,Male,0,19,0
2010,Indiana,15–19,Female,1,25,0.04
2010,Indiana,15–19,Male,8,58,0.13793103448275862
2010,Indiana,20–24,Female,4,20,0.2
2010,Indiana,20–24,Male,18,64,0.28125
2010,Indiana,25–34,Female,6,33,0.18181818181818182
2010,Indiana,25–34,Male,18,73,0.2465753424657534
2010,Indiana,35–44,Female,3,20,0.15
2010,Indiana,35–44,Male,28,90,0.3111111111111111
2010,Indiana,45-54,Female,2,30,0.06666666666666667
2010,Indiana,45-54,Male,25,94,0.26595744680851063
2010,Indiana,55-64,Female,0,16,0
2010,Indiana,55-64,Male,10,64,0.15625
2010,Indiana,65+,Female,0,66,0
2010,Indiana,65+,Male,3,72,0.041666666666666664
2010,Iowa,0-14,Female,0,8,0
2010,Iowa,0-14,Male,0,9,0
2010,Iowa,15–19,Female,0,16,0
2010,Iowa,15–19,Male,2,23,0.08695652173913043
2010,Iowa,20–24,Female,2,14,0.14285714285714285
2010,Iowa,20–24,Male,3,32,0.09375
2010,Iowa,25–34,Female,2,10,0.2
2010,Iowa,25–34,Male,7,46,0.15217391304347827
2010,Iowa,35–44,Female,0,12,0
2010,Iowa,35–44,Male,7,36,0.19444444444444445
2010,Iowa,45-54,Female,1,14,0.07142857142857142
2010,Iowa,45-54,Male,5,40,0.125
2010,Iowa,55-64,Female,0,14,0
2010,Iowa,55-64,Male,3,48,0.0625
2010,Iowa,65+,Female,0,25,0
2010,Iowa,65+,Male,1,43,0.023255813953488372
2010,Kansas,0-14,Female,0,12,0
2010,Kansas,0-14,Male,0,11,0
2010,Kansas,15–19,Female,1,18,0.05555555555555555
2010,Kansas,15–19,Male,3,29,0.10344827586206896
2010,Kansas,20–24,Female,2,16,0.125
2010,Kansas,20–24,Male,14,41,0.34146341463414637
2010,Kansas,25–34,Female,1,12,0.08333333333333333
2010,Kansas,25–34,Male,24,55,0.43636363636363634
2010,Kansas,35–44,Female,3,18,0.16666666666666666
2010,Kansas,35–44,Male,12,30,0.4
2010,Kansas,45-54,Female,1,10,0.1
2010,Kansas,45-54,Male,17,49,0.3469387755102041
2010,Kansas,55-64,Female,3,13,0.23076923076923078
2010,Kansas,55-64,Male,7,37,0.1891891891891892
2010,Kansas,65+,Female,0,34,0
2010,Kansas,65+,Male,3,46,0.06521739130434782
2010,Kentucky,0-14,Female,0,18,0
2010,Kentucky,0-14,Male,0,24,0
2010,Kentucky,15–19,Female,2,24,0.08333333333333333
2010,Kentucky,15–19,Male,3,37,0.08108108108108109
2010,Kentucky,20–24,Female,5,28,0.17857142857142858
2010,Kentucky,20–24,Male,12,53,0.22641509433962265
2010,Kentucky,25–34,Female,6,41,0.14634146341463414
2010,Kentucky,25–34,Male,29,92,0.31521739130434784
2010,Kentucky,35–44,Female,9,33,0.2727272727272727
2010,Kentucky,35–44,Male,29,87,0.3333333333333333
2010,Kentucky,45-54,Female,3,38,0.07894736842105263
2010,Kentucky,45-54,Male,17,88,0.19318181818181818
2010,Kentucky,55-64,Female,2,20,0.1
2010,Kentucky,55-64,Male,7,55,0.12727272727272726
2010,Kentucky,65+,Female,2,42,0.047619047619047616
2010,Kentucky,65+,Male,2,80,0.025
2010,Louisiana,0-14,Female,0,13,0
2010,Louisiana,0-14,Male,0,26,0
2010,Louisiana,15–19,Female,2,26,0.07692307692307693
2010,Louisiana,15–19,Male,8,46,0.17391304347826086
2010,Louisiana,20–24,Female,3,16,0.1875
2010,Louisiana,20–24,Male,20,63,0.31746031746031744
2010,Louisiana,25–34,Female,7,33,0.21212121212121213
2010,Louisiana,25–34,Male,31,112,0.2767857142857143
